Date,Page DOMContent Load Time,Timing Marks
20141011,0,5550
20141012,0,5441
20141013,0,5322
20141014,0,5203
20141015,0,5282
20141016,0,5298
20141017,0,5397
20141018,0,5364
20141019,0,5336
20141020,0,5244
20141021,0,5199
20141022,0,5354
20141023,2764,5156
20141024,2797,4526
20141025,2781,4523
20141026,2781,4523
20141027,2761,4482
20141028,2738,4457
20141029,2801,4493
20141030,2846,4560
20141031,2853,4581
20141101,2856,4587
20141102,2826,4568
20141103,2712,4405
20141104,2749,4424
20141105,2741,4413
20141106,2766,4415
20141107,2878,4387
20141108,2895,4430
20141109,2853,4383
20141110,2819,4312
20141111,2848,4356
20141112,2863,4393
20141113,2800,4333
20141114,2778,4421
20141115,2787,4489
20141116,2741,4466
20141117,2741,4481
20141118,2675,4432
20141119,2712,4451
20141120,2661,4400
20141121,2786,4610
20141122,2704,4541
20141123,2697,4535
20141124,2389,4427
20141125,1649,4980
20141126,1657,4862
20141127,1678,4857
20141128,657,4460
20141129,61,4042
20141130,60,3973
20141201,58,3956
20141202,58,3928
20141203,57,3913