Date,A
20141011,4454
20141012,4382
20141013,4317
20141014,4280
20141015,3997
20141016,4155
20141017,4299
20141018,4165
20141019,4183
20141020,4249
20141021,4022
20141022,4117
20141023,4027
20141024,4308
20141025,4044
20141026,3992
20141027,4027
20141028,3858
20141029,4121
20141030,4306
20141031,4289
20141101,4358
20141102,4382
20141103,4289
20141104,4380
20141105,4243
20141106,4070
20141107,4282
20141108,4326
20141109,4282
20141110,4095
20141111,4174
20141112,4095
20141113,4313
20141114,4196
20141115,4182
20141116,4180
20141117,4472
20141118,3773
20141119,3906
20141120,4161
20141121,4182
20141122,3924
20141123,3749
20141124,4157